longitude,latitude,habitat_richness,NDVI,ALBH-AL-BH-NI,ALBH-AL-BH-VI,ALBH-AL-BH-BB,ALDH-AL-DH-BB,ALDH-AL-DH-NI,FAPAR300-RT0-FAPAR,GDMP300-RT0-GDMP,LAI300-RT0-LAI,SWI1km-SWI-002,SWI1km-SWI-100,SWI1km-SWI-040,SWI1km-SWI-005,SWI1km-SWI-010,SWI1km-SWI-060,SWI1km-SWI-015,SWI1km-SWI-020,TOCR-REF-NOR-BLUE,TOCR-REF-NOR-NIR,TOCR-REF-NOR-SWIR,TOCR-REF-NOR-RED,VCI_y,FCOVER300-RT0-FCOVER,ALDH-AL-DH-VI,d2m,t2m,fal,lai_hv,lai_lv,src,skt,stl1,stl2,stl3,stl4,slhf,ssr,str,sp,ssrd,strd,tp,swvl1,swvl2,swvl3,swvl4
3.63,44.45,0.41398227,164.0,1218.0,973.0,1706.0,2343.0,956.0,17.0,1434.5,8.5,130.5,151.5,143.5,175.0,139.0,131.0,133.5,198.0,364.0,454.0,14.0,4.0,172.0,89.16666666666669,246.0,277.49643,282.62164,0.1642728,2.2671106,2.3427784,9.8747405e-05,282.3368,282.7889,282.75253,282.68585,282.65778,-4787831.5,12423977.0,-5355694.0,90546.03,14748765.0,25769978.0,0.0032346665,0.33797938,0.34015235,0.33980992,0.38352075
3.63,44.47,0.41398227,185.1875,1235.0,985.0,1789.0,2099.0,963.0,55.0,1719.625,4.9375,130.0,154.0,145.0,175.0,139.0,131.0,134.0,198.0,304.0,447.0,14.0,5.0,193.0,96.9375,419.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.63,44.48,0.41930556,190.16666666666663,1241.0,989.0,1474.0,1933.0,965.0,73.0,1651.083333333333,3.25,132.0,152.0,143.0,175.0,138.0,133.0,135.0,198.0,247.0,426.0,6.0,6.0,250.0,91.25,254.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.63,44.49,0.41930556,198.25,1222.0,976.0,1464.0,2050.0,958.0,49.0,1701.75,5.5,133.0,150.0,145.0,175.0,140.0,134.0,136.0,198.0,240.0,430.0,31.0,20.0,246.0,94.66666666666669,164.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.63,44.5,0.41930556,176.6875,1207.0,966.5,1924.5,2598.5,954.0,43.0,1345.1875,6.0625,128.0,147.0,142.0,175.0,137.0,129.0,132.0,198.0,365.0,447.5,24.5,2.5,207.5,81.5625,270.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.63,44.52,0.3353915,182.875,1229.0,981.0,1744.0,2140.0,961.0,61.0,1290.375,4.375,132.0,157.0,149.0,175.0,144.0,134.0,137.0,198.0,365.0,437.0,6.0,3.0,250.0,84.1875,306.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.63,44.53,0.3353915,184.41666666666663,1234.0,984.0,1594.0,2087.0,961.0,57.0,1334.4166666666667,4.75,132.0,161.0,150.0,175.0,144.0,134.0,137.0,198.0,371.0,457.0,18.0,1.0,221.0,92.33333333333331,279.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.63,44.53,0.3353915,184.41666666666663,1234.0,984.0,1594.0,2087.0,961.0,57.0,1334.4166666666667,4.75,132.0,161.0,150.0,175.0,144.0,134.0,137.0,198.0,371.0,457.0,18.0,1.0,221.0,92.33333333333331,279.0,276.97183,281.80896,0.15312774,2.0433805,0.17847204,9.2774484e-05,281.69318,282.1149,282.09393,282.06152,282.07675,-4345133.0,12459850.0,-5233925.5,89150.945,14630792.0,25615316.0,0.0031581307,0.43694302,0.43581763,0.43168563,0.47046417
3.63,44.6,0.33064893,187.58333333333331,1263.0,1004.0,1414.0,1848.0,976.0,17.0,1534.0,8.5,141.0,162.0,158.0,175.0,153.0,144.0,147.0,198.0,308.0,492.0,29.0,20.0,225.0,90.16666666666669,223.0,276.62576,281.2904,0.15455736,2.1258287,0.007769823,0.00010344235,281.1557,281.56558,281.5331,281.48663,281.48605,-4472980.0,12414226.0,-5059320.5,88293.85,14542312.0,25561842.0,0.0030793773,0.35604638,0.3543703,0.35145602,0.38373718
3.63,44.61,0.2656396,193.25,1202.0,963.0,1809.0,2248.0,952.0,13.0,1327.4375,8.875,141.0,159.0,158.0,175.0,153.0,144.0,147.0,198.0,311.0,403.0,14.0,1.0,182.0,81.3125,296.0,276.62576,281.2904,0.15455736,2.1258287,0.007769823,0.00010344235,281.1557,281.56558,281.5331,281.48663,281.48605,-4472980.0,12414226.0,-5059320.5,88293.85,14542312.0,25561842.0,0.0030793773,0.35604638,0.3543703,0.35145602,0.38373718
